# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
bu ying gai 	不應該	c=13 d=4.08038e-14 t=66314
bu ying gai zai 	不應該在	c=1 d=1 t=26206
bu ying xiang 	不影響	c=25 d=0.228728 t=66314
bu yong 	不用	c=65 d=0.229143 t=66314
bu yong le 	不用了	c=5 d=1 t=51529
bu yong qu 	不用去	c=1 d=1 t=66199
bu zai 	不在	c=8 d=1.16041e-15 t=66314
bu zai yi 	不在意	c=1 d=5.39411e-33 t=66314
bu zen me 	不怎麼	c=2 d=1 t=43339
bu zha shi 	不紮實	c=1 d=1 t=24052
bu zhao 	不着	c=1 d=1 t=60332
bu zhao ji 	不着急	c=9 d=1.24716e-10 t=66314
bu zheng chang 	不正常	c=1 d=1 t=46735
bu zheng gui 	不正規	c=1 d=1 t=37035
bu zheng que 	不正確	c=2 d=1 t=53470
bu zhi 	不知	c=1 d=1 t=26602
bu zhi chi 	不支持	c=18 d=2.34204e-12 t=66314
bu zhi dao 	不知道	c=37 d=0.000867409 t=66314
bu zhu 	不住	c=1 d=1 t=37150
bu zhun 	不準	c=1 d=1 t=28148
bu zhun que 	不準確	c=2 d=1.59196e-29 t=66314
bu zou 	不走	c=3 d=1 t=53750
bu zou 	步驟	c=4 d=1.70169e-08 t=66314
bu zu 	不足	c=4 d=0.000246044 t=66314
bu zuo 	不做	c=6 d=1.53913e-24 t=66314
ca 	擦	c=2 d=3.47094e-52 t=66314
ca tong 	擦通	c=6 d=1.87366e-34 t=66314
cai 	才	c=15 d=0.0284017 t=66314
cai 	猜	c=2 d=1 t=61884
cai 	菜	c=3 d=1.72965e-24 t=66314
cai ce 	猜測	c=2 d=9.54828e-16 t=66314
cai gou 	採購	c=3 d=3.75567e-09 t=66314
cai hui 	纔會	c=7 d=0.054204 t=66314
cai ji 	採集	c=21 d=0.489197 t=66314
cai liao 	材料	c=2 d=2.24241e-30 t=66314
cai neng 	才能	c=16 d=0.0282565 t=66314
cai niao 	菜鳥	c=1 d=1 t=42146
cai yang lv 	採樣率	c=2 d=1 t=39897
cai yong 	採用	c=14 d=1.13119e-09 t=66314
cai you 	纔有	c=2 d=1 t=33877
can 	參	c=1 d=1 t=48775
can 	慘	c=0 d=3.68443e-20 t=66314
can 	餐	c=3 d=1.48459e-31 t=66314
can kao 	參考	c=26 d=0.716475 t=66314
can le 	慘了	c=1 d=1.57859e-19 t=66314
can shu 	參數	c=72 d=0.000548654 t=66314
can yu 	參與	c=1 d=0.00975476 t=66314
cang 	倉	c=1 d=4.07886e-39 t=66314
cang ku 	倉庫	c=11 d=0.726149 t=66314
cang qi lai 	藏起來	c=1 d=5.24004e-45 t=66314
cao gao 	草稿	c=1 d=1 t=49901
cao shuai 	草率	c=1 d=2.92731e-48 t=66314
cao wei 	槽位	c=1 d=4.74381e-51 t=66314
cao zuo 	操作	c=32 d=0.000552306 t=66314
ce 	側	c=2 d=1 t=64403
ce 	測	c=27 d=0.0372118 t=66314
ce dao 	測到	c=1 d=1 t=55107
ce guo 	測過	c=2 d=1 t=52989
ce guo le 	測過了	c=2 d=7.59548e-30 t=66314
ce le 	測了	c=3 d=3.07373e-34 t=66314
ce le yi xia 	測了一下	c=1 d=2.19644e-51 t=66314
ce lve 	策略	c=6 d=4.37476e-10 t=66314
ce shi 	測試	c=158 d=0.532758 t=66314
ce su 	測速	c=1 d=1 t=39092
ce suo 	廁所	c=5 d=4.42023e-14 t=66314
ce wan le 	測完了	c=1 d=1.25963e-39 t=66314
ce yi 	側翼	c=1 d=1 t=27826
ce yi xia 	測一下	c=33 d=0.265734 t=66314
ceng 	層	c=12 d=4.14517e-11 t=66314
ceng ci 	層次	c=2 d=2.30103e-30 t=66314
ceng mian 	層面	c=1 d=1 t=37777
ceng shu 	層數	c=1 d=5.42115e-33 t=66314
cha 	差	c=9 d=0.152295 t=66314
cha 	查	c=28 d=0.0166919 t=66314
cha 	茶	c=2 d=1.6244e-31 t=66314
cha bie 	差別	c=7 d=1.6169e-06 t=66314
cha bu dao 	查不到	c=1 d=1 t=32535
cha bu duo 	差不多	c=27 d=0.532592 t=66314
cha chu lai 	查出來	c=2 d=1 t=52200
cha dao 	查到	c=14 d=3.38949e-08 t=66314
cha dian 	差點	c=2 d=1 t=65389
cha e 	差額	c=1 d=1 t=51954
cha jian 	插件	c=2 d=1.42499e-48 t=66314
cha jue 	察覺	c=1 d=4.64671e-43 t=66314
cha kan 	查看	c=32 d=0.22515 t=66314
cha lou bu que 	查漏補缺	c=1 d=7.49259e-46 t=66314
cha ping 	差評	c=2 d=8.06148e-44 t=66314
cha shao 	叉燒	c=1 d=1.71624e-31 t=66314
cha xun 	查詢	c=43 d=1.09614e-06 t=66314
cha yi 	差異	c=4 d=2.43698e-06 t=66314
cha yi xia 	查一下	c=8 d=1 t=65680
cha zao 	插竈	c=1 d=1.98061e-40 t=66314
cha zhao 	查找	c=8 d=1.90333e-13 t=66314
cha zhi 	差值	c=1 d=1 t=52056
chai 	拆	c=4 d=6.3607e-31 t=66314
chai fen 	拆分	c=6 d=6.97416e-27 t=66314
chai le 	拆了	c=2 d=6.48919e-31 t=66314
chan 	產	c=3 d=1.97045 t=48862
chan 	禪	c=1 d=1 t=37549
chan jian 	產檢	c=1 d=0.965605 t=66314
chan sheng 	產生	c=10 d=4.90792e-10 t=66314
chang 	唱	c=1 d=6.32231e-48 t=66314
chang 	場	c=3 d=5.88286e-24 t=66314
chang 	廠	c=1 d=1 t=37633
chang 	長	c=12 d=3.37144e-05 t=66314
chang du 	長度	c=7 d=2.05828e-22 t=66314
chang ge 	唱歌	c=1 d=6.87267e-30 t=66314
chang huo su 	長火速	c=1 d=1 t=64716
chang jian 	常見	c=1 d=1 t=51863
chang jing 	場景	c=16 d=1.01066e-08 t=66314
chang lun xun 	長輪訓	c=-1 d=0 t=66314
chang ma 	長嗎	c=1 d=1 t=25709
chang qi 	長期	c=6 d=2.78576e-10 t=66314
chang sha 	長沙	c=2 d=1.94752e-32 t=66314
chang shang 	廠商	c=20 d=1 t=66065
chang shi 	嘗試	c=15 d=4.3417e-09 t=66314
chang shi guo 	嘗試過	c=1 d=1 t=53418
chang shi jian 	長時間	c=3 d=1.54066e-26 t=66314
chang shu 	常熟	c=161 d=3.00909 t=65531
chang shu ji qi 	常熟機器	c=1 d=1 t=31437
chang suo 	場所	c=1 d=5.22029e-30 t=66314
chang wen ben 	長文本	c=1 d=7.93427e-14 t=66314
chang yong 	常用	c=6 d=1 t=56069
chang zhu 	常駐	c=1 d=1.5794e-24 t=66314
chao 	吵	c=1 d=1 t=27890
chao 	抄	c=1 d=2.22812e-43 t=66314
chao 	超	c=10 d=4.67957e-09 t=66314
chao chu 	超出	c=5 d=4.46693e-20 t=66314
chao guo 	超過	c=18 d=8.73971e-07 t=66314
chao hao kan 	超好看	c=2 d=3.44658e-28 t=66314
chao ji 	超級	c=3 d=1 t=61381
chao jia 	吵架	c=2 d=0.01649 t=66314
chao jie 	潮解	c=1 d=1 t=43037
chao li hai 	超厲害	c=1 d=1 t=52631
chao lian jie 	超鏈接	c=3 d=1.34731e-13 t=66314
chao pei 	超配	c=1 d=1 t=38975
chao pei bi 	超配比	c=1 d=1.5816e-11 t=66314
chao qian 	超前	c=1 d=1 t=36749
chao shi 	超市	c=1 d=3.90549e-28 t=66314
chao shi 	超時	c=51 d=1.16654 t=66314
chao si le 	吵死了	c=1 d=1 t=24254
chao xi 	抄襲	c=1 d=1 t=42966
chao xiao 	嘲笑	c=1 d=1 t=33990
chao zuo 	炒作	c=1 d=1 t=57806
che 	扯	c=1 d=1.27294e-45 t=66314
che hui 	撤回	c=1 d=9.47905e-48 t=66314
che shang 	車上	c=1 d=3.19092e-33 t=66314
che shi 	車市	c=1 d=1 t=66084
che xiang 	車廂	c=1 d=1 t=27081
che xiao 	撤銷	c=1 d=6.86683e-20 t=66314
chen gong 	陳宮	c=3 d=5.5988e-30 t=66314
chen gong ge 	陳宮個	c=1 d=1 t=46013
chen gong lv 	陳宮率	c=1 d=1 t=49390
cheng 	城	c=0 d=0.1 t=30778
cheng 	成	c=25 d=0.0218764 t=66314
cheng ben 	成本	c=8 d=0.023984 t=66314
cheng fa 	懲罰	c=1 d=1 t=24294
cheng gong 	成功	c=55 d=0.0563391 t=66314
cheng gong lv 	成功率	c=28 d=0.00416358 t=66314
cheng hao 	稱號	c=1 d=7.59677e-32 t=66314
cheng ji 	成績	c=1 d=1.65411e-09 t=66314
cheng jie 	承接	c=1 d=1 t=62768
cheng nan 	成男	c=1 d=5.8002e-34 t=66314
cheng ren 	成人	c=2 d=8.87878e-40 t=66314
cheng shi 	城市	c=2 d=1.97045 t=49784
cheng shu 	成熟	c=1 d=1 t=54220
cheng wei 	成爲	c=1 d=1 t=52921
cheng xiang 	呈祥	c=2 d=1.10059e-10 t=66314
cheng xin 	成心	c=1 d=1 t=65719
cheng xu 	程序	c=5 d=1 t=60991
cheng yuan 	成員	c=1 d=1.04945e-09 t=66314
cheng zai 	承載	c=1 d=0.013912 t=66314
chi 	吃	c=32 d=0.00138785 t=66314
chi 	池	c=3 d=8.35697e-07 t=66314
chi ba 	吃吧	c=1 d=2.43712e-39 t=66314
chi chi 	吃吃	c=1 d=1 t=54718
chi de 	吃得	c=2 d=5.9913e-33 t=66314
chi dian 	吃點	c=1 d=1.51824e-30 t=66314
chi dong xi 	吃東西	c=1 d=1 t=64023
chi fan 	吃飯	c=8 d=0.0395575 t=66314
chi fan bu 	吃飯不	c=2 d=1 t=63153
chi guo 	吃過	c=1 d=1.75211e-39 t=66314
chi jiu 	持久	c=0 d=4.43153e-45 t=66314
chi jiu hua 	持久化	c=2 d=4.45374e-44 t=66314
chi kao rou 	吃烤肉	c=1 d=1 t=42781
chi le 	吃了	c=3 d=1.79652e-10 t=66314
chi ni 	吃你	c=1 d=9.38633e-50 t=66314
chi qi lai 	吃起來	c=1 d=1 t=56589
chi rou 	吃肉	c=1 d=1 t=39543
chi sha 	吃啥	c=1 d=1 t=42777
chi wan 	吃完	c=1 d=3.54177e-25 t=66314
chi wan fan 	吃完飯	c=1 d=1.94172e-42 t=66314
chi wan le 	吃完了	c=1 d=1 t=27910
chi xiang 	吃相	c=1 d=8.15314e-40 t=66314
chi xu 	持續	c=2 d=7.12376e-11 t=66314
chi zao 	遲早	c=2 d=4.57753e-43 t=66314
chi zi 	尺子	c=1 d=8.93645e-31 t=66314
chong 	充	c=1 d=4.8347e-39 t=66314
chong 	衝	c=1 d=1.93341e-22 t=66314
chong 	重	c=1 d=0.100002 t=27626
chong chong 	沖沖	c=0 d=1.93341e-22 t=66314
chong chong chong 	沖沖衝	c=5 d=5.99965e-20 t=66314
chong die 	重疊	c=4 d=1.24926e-30 t=66314
chong ding xiang 	重定向	c=2 d=1 t=48551
chong du 	重讀	c=1 d=1 t=30070
chong fa 	重發	c=1 d=1 t=38550
chong fu 	重複	c=28 d=4.82483e-15 t=66314
chong gong 	充公	c=1 d=1 t=48942
chong gou 	重構	c=6 d=1.28526e-05 t=66314
chong jian 	重建	c=1 d=1 t=58313
chong ming 	重名	c=3 d=1.17571e-22 t=66314
chong ming ming 	重命名	c=3 d=1.14093e-51 t=66314
chong pai 	重排	c=1 d=2.75974e-31 t=66314
chong qi 	重啓	c=37 d=0.00554922 t=66314
chong qi guo le 	重啓過了	c=1 d=4.67079e-45 t=66314
chong qi le 	重啓了	c=1 d=1 t=29784
chong qi yi hou 	重啓以後	c=1 d=1 t=28624
chong qing 	重慶	c=1 d=1 t=33508
chong shi 	重試	c=34 d=2.52063 t=66314
chong shi yi xia 	重試一下	c=1 d=1 t=44209
chong tou 	重投	c=2 d=1.03127 t=58610
chong tu 	衝突	c=11 d=0.000349153 t=66314
chong wu 	寵物	c=4 d=2.83567e-19 t=66314
chong xie 	重寫	c=1 d=1 t=50210
chong xin 	重新	c=42 d=0.0105682 t=66314
chong xing 	寵幸	c=1 d=1 t=40841
chong ya 	衝壓	c=1 d=1 t=57056
chong zhi 	充值	c=3 d=8.69182e-28 t=66314
chong zhi 	重置	c=1 d=1 t=48877
chong zhuan 	重轉	c=4 d=1 t=36602
chong zhuan ma 	重轉碼	c=2 d=1 t=50095
chong zhuang 	重裝	c=2 d=1 t=60550
chou 	抽	c=0 d=0.1 t=36447
chou chu 	抽搐	c=1 d=1 t=57873
chou dao 	抽到	c=0 d=0.1 t=41845
chou jiang 	抽獎	c=1 d=1 t=41845
chou kong 	抽空	c=1 d=1 t=32016
chou xiang 	抽象	c=3 d=1.00157 t=51038
chou xiang chu 	抽象出	c=1 d=1 t=31507
chou yan 	抽菸	c=1 d=4.1477e-30 t=66314
chou zhen 	抽幀	c=1 d=1 t=44769
chou zhi 	抽紙	c=1 d=8.59189e-39 t=66314
chou zhong 	抽中	c=1 d=1.93743e-16 t=66314
chou zou le 	抽走了	c=1 d=1 t=36448
chu 	出	c=31 d=0.0863549 t=66314
chu 	除	c=4 d=4.76368e-12 t=66314
chu bu 	初步	c=4 d=8.98459e-06 t=66314
chu bu lai 	出不來	c=1 d=0.0147723 t=66314
chu chai 	出差	c=1 d=1 t=64358
chu ci 	初次	c=1 d=1 t=47811
chu cuo 	出錯	c=1 d=1 t=29897
chu e 	除惡	c=0 d=0.1 t=35289
chu fa 	觸發	c=64 d=2.4947 t=66314
chu fang 	廚房	c=1 d=4.56338e-36 t=66314
chu guan 	出關	c=1 d=1 t=35318
chu jia ren 	出家人	c=1 d=3.55154e-28 t=66314
chu kou 	出口	c=17 d=0.0169931 t=66314
chu lai 	出來	c=17 d=0.000175127 t=66314
chu le 	出了	c=1 d=1 t=49626
chu le 	除了	c=8 d=2.38318e-11 t=66314
chu li 	處理	c=84 d=0.0137016 t=66314
chu men 	出門	c=1 d=1.02958e-31 t=66314
chu qu 	出去	c=3 d=2.27236e-39 t=66314
chu shi 	初始	c=3 d=1.21801e-26 t=66314
chu shi hua 	初始化	c=4 d=1.24363e-28 t=66314
chu wen ti 	出問題	c=2 d=7.18534e-24 t=66314
chu xian 	出現	c=28 d=1.85539e-07 t=66314
chu yi 	除以	c=3 d=1.74769e-31 t=66314
chu yu 	處於	c=1 d=5.64047e-29 t=66314
chuan 	串	c=2 d=1.26237e-34 t=66314
chuan 	傳	c=50 d=0.524581 t=66314
chuan 	川	c=1 d=1 t=33308
chuan 	穿	c=6 d=5.26467e-14 t=66314
chuan bu liao 	穿不了	c=1 d=2.49975e-14 t=66314
chuan can 	傳參	c=6 d=1.00016 t=58734
chuan dao 	傳到	c=9 d=1.99005 t=66040
chuan di 	傳遞	c=3 d=2.7051e-31 t=66314
chuan gei 	傳給	c=3 d=1 t=47782
chuan guo lai 	傳過來	c=1 d=1 t=25062
chuan guo qu 	穿過去	c=2 d=1 t=50849
chuan jin lai 	傳進來	c=1 d=3.65088e-29 t=66314
chuan la 	穿啦	c=1 d=1 t=35995
chuan le 	傳了	c=3 d=2.88141 t=34506
chuan le 	穿了	c=2 d=3.23367e-13 t=66314
chuan mo 	穿摸	c=1 d=5.53649e-16 t=66314
chuan ru 	傳入	c=10 d=5.49746e-21 t=66314
chuan shang lai 	傳上來	c=2 d=1 t=64750
chuan shang qu 	傳上去	c=1 d=1 t=45623
chuan tou 	穿透	c=4 d=0.182462 t=66314
chuan wan 	傳完	c=7 d=1.92774 t=66126
chuan xing 	串行	c=3 d=1.06567e-13 t=66314
chuan yue 	穿越	c=1 d=1 t=63805
chuang 	牀	c=3 d=3.74457e-33 t=66314
chuang hua 	窗花	c=1 d=1 t=49239
chuang jian 	創建	c=47 d=0.11656 t=66314
chuang ke tie 	創可貼	c=0 d=0.1 t=34806
chuang kou 	窗口	c=1 d=1 t=27295
chuang li 	牀笠	c=1 d=1.30498e-14 t=66314
chuang lian 	窗簾	c=2 d=1.66365 t=30717
chui 	吹	c=2 d=1.99005 t=54706
chui feng ji 	吹風機	c=1 d=6.56222e-45 t=66314
chuo 	戳	c=8 d=5.78326e-29 t=66314
ci 	次	c=21 d=0.91737 t=66314
ci 	此	c=2 d=3.22024e-23 t=66314
ci 	詞	c=2 d=9.98201e-13 t=66314
ci a ji 	次啊機	c=1 d=0.0149956 t=66314
ci chu 	此處	c=4 d=1.52851e-17 t=66314
ci fang an 	此方案	c=1 d=1 t=43683
ci lei 	此類	c=1 d=6.85376e-27 t=66314
ci mu 	此木	c=1 d=1 t=64230
ci pan 	磁盤	c=24 d=0.595733 t=66314
ci shu 	次數	c=16 d=8.1086e-05 t=66314
cong 	從	c=112 d=0.28527 t=66314
cong fu 	從父	c=2 d=1.00005 t=49151
cong ku 	從庫	c=5 d=2.45294 t=61282
cong ming 	聰明	c=0 d=0.000737249 t=66314
cong shang 	從上	c=2 d=3.18679e-16 t=66314
cou ge 	湊個	c=1 d=8.22388e-24 t=66314
cu ren 	粗人	c=0 d=2.6428e-52 t=66314
cu ren le 	粗人了	c=3 d=1.01057e-06 t=66314
cu si 	猝死	c=1 d=1 t=50152
cui 	催	c=2 d=2.16043e-33 t=66314
cui cha shi 	萃茶師	c=1 d=1 t=53899
cui le 	催了	c=3 d=8.16313e-25 t=66314
cui yi cui 	催一催	c=1 d=6.12066e-49 t=66314
cui yi xia 	催一下	c=1 d=6.15992e-36 t=66314
cun 	存	c=8 d=0.000194986 t=66314
cun 	村	c=1 d=7.86067e-22 t=66314
cun chu 	存儲	c=107 d=2.27645 t=66314
cun cu 	存粗	c=1 d=1.44872e-08 t=66314
cun dao 	存到	c=3 d=1.00119 t=45921
cun liang 	存量	c=1 d=1 t=60823
cun qian 	存錢	c=1 d=1.32241e-23 t=66314
cun suan 	存算	c=4 d=1 t=57472
cun suan fen li 	存算分離	c=1 d=0.00195963 t=66314
cun zai 	存在	c=25 d=0.396658 t=66314
cuo 	錯	c=6 d=4.56275e-05 t=66314
cuo guo 	錯過	c=1 d=1.18036e-39 t=66314
cuo le 	錯了	c=4 d=0.106977 t=66314
cuo shi 	措施	c=1 d=1 t=27966
cuo wu 	錯誤	c=19 d=0.70822 t=66314
da 	大	c=33 d=0.306974 t=66314
da 	打	c=27 d=0.886977 t=66314
da 	搭	c=3 d=1.38247e-44 t=66314
da bao 	大包	c=2 d=3.35816e-38 t=66314
da bao 	打包	c=14 d=2.15248e-16 t=66314
da bao cheng 	打包成	c=1 d=2.33147e-47 t=66314
da bu 	打不	c=0 d=0.1 t=31768
da bu fen 	大部分	c=16 d=0.513635 t=66314
da bu kai 	打不開	c=2 d=0.00670434 t=66314
da bu liao 	大不了	c=1 d=4.58469e-32 t=66314
da bu liao 	打不了	c=1 d=1 t=31769
da bu wei 	大不韙	c=1 d=1 t=38980
da cang 	大倉	c=1 d=1 t=61112
da che 	打車	c=15 d=1.97574e-30 t=66314
da cong 	大蔥	c=0 d=0.1 t=55740
da cong ming 	大蔥名	c=1 d=1 t=55741
da cuo 	打錯	c=1 d=1 t=25028
da da 	大大	c=0 d=3.55034e-25 t=66314
da da da 	大大大	c=1 d=3.56813e-24 t=66314
da dao 	打到	c=8 d=0.236876 t=66314
da dao 	達到	c=15 d=0.0746459 t=66314
da dian hua 	打電話	c=7 d=0.000581442 t=66314
da gai 	大概	c=19 d=2.74016e-05 t=66314
da gang 	大綱	c=1 d=1 t=24026
da gao 	打高	c=1 d=1 t=47978
da ge 	打個	c=0 d=0.1 t=52911
da ge 	打嗝	c=1 d=1 t=56594
da ge gong 	打個工	c=1 d=1 t=52912
da gong 	打工	c=1 d=1.05834e-20 t=66314
da guo 	大鍋	c=2 d=1 t=65462
da guo 	打過	c=1 d=1 t=65463
da hao 	大號	c=1 d=7.67598e-07 t=66314
da hei 	打黑	c=0 d=0.1 t=35289
da hei chu e 	打黑除惡	c=1 d=1 t=35290
da hui yuan 	大回源	c=1 d=1 t=46510
da jia 	大家	c=3 d=1.22452e-30 t=66314
da jia 	打架	c=1 d=4.66285e-25 t=66314
da jian 	搭建	c=11 d=0.00113061 t=66314
da kai 	打開	c=37 d=0.10646 t=66314
da lao 	大佬	c=572 d=1.13246 t=66314
da lao ban 	大老闆	c=1 d=1.1949e-36 t=66314
da lao men 	大佬們	c=8 d=0.209088 t=66314
da le 	打了	c=2 d=1.0513 t=32303
da liang 	大量	c=4 d=7.91244e-11 t=66314
da ma jiang 	打麻將	c=1 d=6.10194e-13 t=66314
da man 	打滿	c=13 d=1.36642 t=66314
da mo 	達摩	c=0 d=9.1992e-20 t=66314
da mo dong 	達摩洞	c=1 d=9.24531e-19 t=66314
da mu biao 	大目標	c=1 d=1 t=50169
da niang 	大娘	c=1 d=1.84069e-31 t=66314
da pan 	大盤	c=1 d=1.39116e-32 t=66314
da pan ji 	大盤雞	c=1 d=1.39813e-31 t=66314
da pei 	搭配	c=1 d=1.33502e-17 t=66314
da quan 	大全	c=1 d=1 t=40722
da ren 	大人	c=1 d=1 t=58395
da san 	打散	c=1 d=1 t=37796
da shuai 	大帥	c=0 d=0.1 t=41820
da shuai ge 	大帥哥	c=1 d=1 t=41821
da suan 	打算	c=1 d=5.62399e-24 t=66314
da tong 	打通	c=7 d=1.20918 t=34168
da tou 	大頭	c=3 d=1.08307e-27 t=66314
da tui 	大腿	c=1 d=1 t=61464
da wen jian 	大文件	c=7 d=1.26226e-34 t=66314
da wo 	打我	c=2 d=1 t=52553
da xiao 	大小	c=49 d=0.0234485 t=66314
da xiao qu na li 	大小去哪裏	c=1 d=1 t=26428
da xiao xie 	大小寫	c=1 d=4.7975e-07 t=66314
da xue 	大學	c=1 d=5.91014e-49 t=66314
da ya 	打壓	c=1 d=1 t=41902
da ye 	大爺	c=1 d=5.46522e-40 t=66314
da yi dian 	大一點	c=1 d=1 t=38806
da yin 	打印	c=3 d=1.9158e-31 t=66314
da you 	大有	c=2 d=2.01881e-46 t=66314
da yu 	大於	c=8 d=0.000113996 t=66314
da yu 	大禹	c=1 d=1 t=24436
da yuan 	大員	c=1 d=3.53383e-28 t=66314
da yue 	大悅	c=0 d=0.1 t=30778
da yue cheng 	大悅城	c=1 d=1 t=30779
da zhan 	大戰	c=1 d=1.91646e-35 t=66314
da zhe 	打折	c=1 d=3.90084e-14 t=66314
da zhi 	大致	c=3 d=0.691183 t=66314
da zhu 	大豬	c=5 d=1.34844e-17 t=66314
dai 	代	c=1 d=1 t=33301
dai 	帶	c=27 d=3.96666e-05 t=66314
dai 	待	c=24 d=0.683861 t=66314
dai 	戴	c=1 d=1.07045 t=43340
dai ban 	代辦	c=1 d=1 t=28252
dai biao 	代表	c=1 d=1.11317e-26 t=66314
dai chu li 	待處理	c=1 d=5.67743e-47 t=66314
dai dao 	逮到	c=1 d=1 t=60537
dai ding 	待定	c=1 d=1 t=29009
dai er ji 	戴耳機	c=2 d=1.96561 t=43348
dai fu 	代付	c=1 d=3.17943e-20 t=66314
dai hao 	代號	c=6 d=1.83527 t=65194
dai jia 	代價	c=1 d=1 t=56742
dai kuan 	帶寬	c=130 d=0.600105 t=66314
dai le 	待了	c=1 d=1 t=59318
dai li 	代理	c=28 d=0.0665368 t=66314
dai li ji 	代理機	c=1 d=1.51175e-09 t=66314
dai ma 	代碼	c=58 d=1.44224 t=66314
dai ma le 	代碼了	c=1 d=1 t=60441
dai ni 	帶你	c=1 d=6.98604e-46 t=66314
dai shang 	帶上	c=1 d=1 t=27554
dai ti 	代替	c=2 d=1.22324e-47 t=66314
dai tou 	代投	c=1 d=3.72261e-52 t=66314
dai wo 	帶我	c=1 d=6.91653e-46 t=66314
dai zi 	袋子	c=1 d=1 t=31205
dan 	但	c=35 d=0.908788 t=66314
dan 	單	c=30 d=0.121238 t=66314
dan 	淡	c=1 d=6.74461e-44 t=66314
dan bao fan 	蛋包飯	c=1 d=5.87266e-33 t=66314
dan chu kou 	單出口	c=1 d=1 t=31482
dan chun 	單純	c=1 d=1 t=66069
dan ci 	單次	c=2 d=6.47485e-05 t=66314
dan ci 	單詞	c=1 d=9.16735e-37 t=66314
dan dian 	單點	c=3 d=1.5516e-21 t=66314
dan ding 	淡定	c=1 d=9.70745e-34 t=66314
dan du 	單獨	c=24 d=0.0518189 t=66314
dan gao 	蛋糕	c=1 d=1 t=47472
dan ge 	單個	c=24 d=0.38868 t=66314
dan ji 	單擊	c=2 d=1.26622e-31 t=66314
dan ji 	單機	c=2 d=9.785e-10 t=66314
dan ji qi 	單機器	c=1 d=1 t=41320
dan jia 	單價	c=1 d=1 t=59420
dan jiao 	蛋餃	c=1 d=6.05151e-33 t=66314
dan li 	單例	c=1 d=2.94709e-39 t=66314
dan mu 	彈幕	c=46 d=0.869358 t=66314
dan qi 	氮氣	c=19 d=0.0123102 t=66314
dan qi pi 	氮氣皮	c=1 d=1 t=52091
dan qi ping 	氮氣瓶	c=42 d=0.00448829 t=66314
dan ren 	擔任	c=1 d=0.00168667 t=66314
dan shi 	但是	c=90 d=1.4603 t=66314
dan shi li 	單實例	c=6 d=1.98511 t=44954
dan si 	單絲	c=1 d=1 t=49538
dan tai 	單臺	c=11 d=0.511709 t=66314
dan tian 	單天	c=3 d=2.0869e-08 t=66314
dan wang ka 	單網卡	c=2 d=1 t=63406
dan wei 	單位	c=16 d=0.0321662 t=66314
dan wen jian 	單文件	c=5 d=3.45315e-21 t=66314
dan yang 	丹陽	c=1 d=1 t=46641
dan yuan 	單元	c=4 d=0.0142077 t=66314
dan zi 	單子	c=4 d=5.14376e-45 t=66314
dang 	檔	c=2 d=1.04954 t=28667
dang 	當	c=11 d=0.189191 t=66314
dang dao 	擋道	c=1 d=1 t=27249
dang ji 	宕機	c=21 d=0.213312 t=66314
dang mian 	當面	c=1 d=1 t=48506
dang qian 	當前	c=16 d=2.55837e-26 t=66314
dang ran shi 	當然是	c=1 d=9.81335e-44 t=66314
dang shi 	當時	c=4 d=9.91061e-14 t=66314
dang shi kan 	當時看	c=1 d=9.96029e-13 t=66314
dang tian 	當天	c=1 d=1 t=41635
dao 	倒	c=2 d=5.12231e-13 t=66314
dao 	刀	c=1 d=5.5087e-45 t=66314
dao 	到	c=449 d=2.15187 t=66314
dao 	導	c=1 d=1 t=64583
dao 	島	c=3 d=1 t=58835
dao 	道	c=4 d=2.86846e-15 t=66314
dao bi 	倒閉	c=1 d=2.54099e-30 t=66314
dao bo 	導播	c=0 d=1.28599e-19 t=66314
dao bo tai 	導播臺	c=1 d=1.29244e-18 t=66314
dao chu 	到處	c=1 d=5.87166e-31 t=66314
dao chu 	導出	c=28 d=0.000340532 t=66314
dao chu lai 	倒出來	c=1 d=1 t=64581
dao da 	到達	c=1 d=2.01547e-10 t=66314
dao ji shi 	倒計時	c=1 d=1 t=42139
dao jia 	到家	c=1 d=8.31219e-32 t=66314
dao le 	到了	c=9 d=2.19427e-10 t=66314
dao li 	道理	c=1 d=1 t=35975
dao qi 	到期	c=1 d=3.12338e-46 t=66314
dao ru 	導入	c=11 d=0.00540733 t=66314
dao shi 	倒是	c=4 d=3.16852e-09 t=66314
dao shi hou 	到時候	c=8 d=2.18786e-05 t=66314
dao shu ju 	導數據	c=1 d=1 t=54035
dao wei 	到位	c=1 d=1 t=39451
dao yong 	盜用	c=1 d=1.65007e-39 t=66314
dao you 	到右	c=1 d=2.15339e-24 t=66314
dao zhi 	導致	c=116 d=1.53277 t=66314
dao zhi de 	導致的	c=7 d=6.007e-05 t=66314
de 	德	c=0 d=0.1 t=42596
de 	的	c=3708 d=8.40024 t=66314
de chu 	得出	c=1 d=1 t=24109
de cun jin chi 	得寸進尺	c=1 d=8.48877e-44 t=66314
de dao 	得到	c=7 d=1.31514e-17 t=66314
de le 	得了	c=1 d=3.19363e-43 t=66314
de ne ge 	的呢個	c=1 d=1 t=42469
